news,code
,경제
"오뚜기, 가격 인상 계획 철회...""물가안정 기조에 동참""",경제
"독일 전기 에어택시 릴리움, EU 첫 승인 획득",경제
"설악산 오색케이블카, 흑자 운영 가능할까?",경제
"청년 세대, 30년 뒤 절반으로...5명 중 4명 미혼",경제
국세청 ‘법인세법 가이드’ 시리즈로 발간…이번엔 합병·분할 세제편,경제
[단독] [2030 부산엑스포] 개최지 선정 앞두고 부산-로마 연대 가시화,경제
[포토] ‘화학물질 저감 우수제품’ 발표,경제
"울주군, 지역 투자유치 환경개선사업 공모 선정",경제
울산 휘발유와 경유 가격 7주 연속 하락,경제
울산 주력업종 12월 경기전망 기준치 밑돌아,경제
"[올댓차이나] 中 리얼미, 스마트폰 출하량 5년 만에 2억대 돌파",경제
"'반유대주의 논란' 머스크 ""하마스 제거돼야"" 맞장구",경제
울산 도심융합특구 그린벨트 해제 절차 본격화,경제
[포토] 크리스마스 분위기 물씬,경제
"루시드, 신차 발표에도 투자등급 '보유'로 내려가",경제
"용인특례시, 일자리 창출 우수기업 9곳에 인증서·현판 수여",경제
"초미세먼지 고농도 조기 예보, 충청·호남으로 확대",경제
"김동연 경기지사, 스페인 카탈루냐 주지사 면담",경제
옷 좀 입는 언니들이 ‘픽’했다…겨울 대전에서 살아남은 ‘이효리 패딩’ 뭐길래,경제
"韓·英, 탈탄소·보안 등 해사분야 협력 강화 '약속'…최초 문서 합의",경제
"IAEA ""우크라 원전 주전력선 110일만에 또 끊겨""",경제
"오뚜기, 제품가격 인상 계획 철회키로…간편식 소비자들 “휴”",경제
엑스포 개최지 결정 D-1… 최태원 “오늘도 전투 벌어진다”,경제
일주일 만에 또 집합...은행권 상생 금융 거듭 압박,경제
청년 세대 30년 뒤 '반토막'...지금도 5명 중 4명이 미혼,경제
부산이냐 사우디냐… 엑스포 개최지 29일 0시 30분쯤 발표,경제
"쇼피파이, 블랙프라이데이 훈풍에 주가 19개월래 최고",경제
"폭스바겐, 직원 감축 등으로 109억달러 절감 계획",경제
"도이치방크 ""24년 말까지 S&P 500 12% 추가 상승 가능""",경제
"美, 블랙프라이데이 온라인 쇼핑 7.5% 증가",경제
"깨끗한나라, ‘스마트 통합방재센터’ 오픈…안전한 작업환경 마련",경제
"UBS, GE헬스케어 중립→매도 하향…목표가 66달러",경제
벌써 다섯 번째 회의…‘카카오 창업자’ 김범수 “관리 체제 강화” 주문,경제
이경호 부산엑스포 유치지원단장 “‘이길 수 있다’ 일념으로 최선”,경제
"부산엑스포 유치 운명, 오는 29일 0시30분께 결정될 듯",경제
"홈씨씨 인테리어, 프리미엄 강마루 '숲 강마루 텍스쳐' 신제품 출시",경제
"충청북도-이스타항공, 청주공항 활성화 협약",경제
충북서 럼피스킨 소강상태…방역대 해제 검사,경제
최하위권 농민수당 ‘또 제자리’…농민 반발,경제
검증안 된 투자 유치…실적에 데이터센터도 포함,경제
“경제정책 빵점” 고작 30%만 지지…‘사면초가’ 日 기시다 어쩌나,경제
"中 증시 '찬물' 될라…""대주주 주식 팔지마""",경제
한동훈·이정재 사진 한 장에 ‘주가 급등’…임세령 대상홀딩스 무슨 일,경제
장례·산후조리 등 생활밀착 서비스 개선,경제
의료계 등 반발로 표류 ‘비대면 진료’…재외국민 대상 우선 시행으로 ‘물꼬’,경제
"공공택지, 매각 후 급등…건설사만 배불려",경제
"두나무, 블록체인으로 멸종위기 식물 보호 [숏잇슈]",경제
"주택금융공사, 부동산 PF 보증 확대 나서",경제
"2030 엑스포 유치 위해…韓 기업, 175개국 3000여명과 네트워킹, 회의 1645회",경제
"랠리 불씨 꺼질라…""베이징 거래소, 상장기업 대주주 주식 매각 금지""",경제
"원희룡 장관, 도시철도 정관선 등 지역 현안 점검",경제
[집중취재] 위기의 시골 버스 터미널…“관광시설 유치로 활성화”,경제
'연 2%대 금리·집값 80% 대출' 청년청약통장 출시 … 중장년층은 소외감,경제
[현명한 금융생활 꿀팁]해외채권 투자시 환율변동 위험 반드시 고려해야,경제
"올 하반기 중소제조업 평균일급 10만5,773원 … 최고액 직종은?",경제
"김진태 지사, 청년들과 치맥하며 다양한 의견 청취",경제
금융위 “소상공인 대환대출 대상 확대”,경제
"전세사기 다가구주택, 세입자 전원 동의 못 받아도 ‘LH 매입’ 길 열린다",경제
"‘그랩’ 결국 못 따라잡고…배민, 베트남 진출 4년 만에 철수",경제
용인서 도로변에 누워있던 주취자 2명 승용차에 깔려 다쳐,사회
'이선균 마약 제공 혐의' 의사 영장 기각...경찰 수사 난항,사회
휠만 남은 바퀴로 20㎞ 달렸다… 만취 운전자의 위험천만 도주,사회
"美경찰, 팔'출신 대학생 3명 총격 가한 40대 백인남성 체포",사회
'기피 일자리'에 외국인력…내년 16만 5천명 '최대',사회
인천 기계식 지하주차장서 작업자 2명 추락해 부상,사회
"방성환 경기도의원 ""법·조례 부재 상황에서 농어민기회소득 예산편성...절차 정당성 부족""",사회
내년 신규 외국인 근로자 16만5천 명 '역대 최대'...식당서도 일해,사회
"檢, '사법 농단' 임종헌 징역 7년 구형...""사법 신뢰 붕괴""",사회
"속초시, ‘글로벌 워케이션 수도, 속초!’ 선포",사회
"속옷만 입고 있던 남편, 베란다엔 女장교 숨어있어…‘징계 불복’ 소송 패소",사회
수능 끝나자 논술 총력전…사교육 부담은 '눈덩이',사회
"경기도융합과학교육원, 올해 '연구과제 발표회 및 수료식' 개최",사회
홍천 금은방 절도 40대 구속…특수절도 혐의,사회
“인생 사진 건지려다” 추락사고 잇따라…통제구역 증가,사회
"법무부, '180명 허위 난민신청' 말레이시아 브로커 검거",사회
전교조 “전자칠판 논란 신경호 교육감 무책임 태도”,사회
"최종구 전 금융위원장, ‘2024강원’ 조직위원장 위촉",사회
배스·블루길·브라운송어까지…외래종에 잠식된 소양강,사회
"""꽈추형 갑질 인정, 권고사직 서명 뒤 퇴사""…홍성우 반응은",사회
‘지인 부고’ 문자 누르니 문자 폭탄…“2차 피해 주의”,사회
"경희대, '위안부 망언' 교수 징계 제청...""본교 명예 훼손""",사회
"설악산 오색케이블카, 흑자 운영 가능할까?",사회
강릉시영상미디어센터 갑자기 휴관? 반발 잇따라,사회
여경과 2년 넘게 ‘부적절’ 관계…“징계처분 정당해”,사회
‘대한민국 특별자치시도 협의회’ 출범…공동 대응,사회
자녀 수능 감독관에 폭언한 유명 강사…교육부 “고발 조치”,사회
"'주호민 아들' 특수교사 녹음파일 공개...재판부 ""부모 속상할 만""",사회
경주 안계댐 공사하던 다리 붕괴...작업자 2명 숨져,사회
모델 10여 명 불법 촬영‥30대 촬영 작가 구속 송치,사회
"""동거 연인도 혼인 인정, 출산·육아 지원을""...고령층도 '공감'",사회
"부산외대, 양자기술 전문기업 (주)퀀텀센싱과 업무협약 체결",사회
술 취해 12층서 고양이 2마리 던져 죽게 한 30대 재판행,사회
“한국 진짜 큰일난다”…30년 뒤 청년인구 ‘반토막’,사회
성관계 유도한 뒤 '신고하겠다' 협박해 돈 뜯은 일당 적발,사회
취약계층 근로감독 결과 77곳서 2억여 원 임금체불,사회
경주 안계댐서 건설중 다리 붕괴…물에 빠진 노동자 2명 숨져,사회
"시의회, 대기업 출신 시설공단 이사장 후보 적격 판단",사회
"""밉상·버릇 고약""..'주호민 아들 학대사건' 교사 녹취록 공개",사회
‘제 2의 전청조’ 주의보…여자인 척 사기치고 “200만원만” 요구,사회
민주당 시당 “울산시체육회장 정치 중립 의무 위반”,사회
"눈앞에 다가온 개최지 선정 투표...""한마음으로 응원""",사회
"SK울산공장, 김장 김치 20톤 담가 시설 등에 전달",사회
경찰 '사건브로커' 관련 7명 직위해제…감찰은 아직,사회
검·경 고위직 출신 동시 압수수색…‘백현동 수사무마’ 금품수수 의혹,사회
"울주군, 지역 투자유치 환경개선사업 공모 선정",사회
"'수능 감독관 위협' 유명강사 학부모 ""죄송하다...부정행위는 아냐""",사회
[포토] 민·관 합동 화재 진압 훈련,사회
"'SG발 주가폭락' 라덕연, 구속 연장…보석 기각",사회
울산 휘발유와 경유 가격 7주 연속 하락,사회
울산 주력업종 12월 경기전망 기준치 밑돌아,사회
건조한 날씨에 산불 위험 ‘쑥’…“부주의 79%”,사회
울산 도심융합특구 그린벨트 해제 절차 본격화,사회
"허경영 하늘궁 측 “숨진 남성, 불로유 구매 사실 없어”…경찰 “하늘궁 우유 판매 사실 없어”",사회
'이선균 마약 제공' 의사 구속 기각…권지용 출국금지 해제,사회
울산도 첫 럼피스킨 의심 신고…“정밀 검사”,사회
한복으로 한국을 알린다,사회
헬스장서 여성 꼬리뼈 만졌다…CCTV에 딱 걸린 30대男,사회
서울 쌍문동 일대 정전‥1시간여 만에 복구,사회
파리에서 한국을 알리다,사회
"흰(박혜원), ‘2023 한국청년희망대상’ 표창",생활/문화
“지적장애와 달라요”… ‘경계선 지능장애’에 대한 오해와 진실[마음처방],생활/문화
"초미세먼지 고농도 조기 예보, 충청·호남으로 확대",생활/문화
"김동연 경기지사, 스페인 카탈루냐 주지사 면담",생활/문화
"'미스터트롯2' 진 안성훈, 국내 독거노인 지원사업에 2000만원 기부",생활/문화
물 내리기 전 꼭 확인… ‘이 모양’ 대변 무시했다간 병 키울 수도,생활/문화
"""치마 독특하네"" 신현빈, 주얼리만 1530만원어치 걸친 겨울 패션",생활/문화
울산 오늘 낮 최고 16.7도…내일 5~9도,생활/문화
"파리 총회, 29일 0시30분 엑스포 개최지 발표…투표 절차와 예상은",생활/문화
‘5무(無) 운동’ 여주 대신 중·고 개교 70주년 조형물 제막식,생활/문화
"[생활날씨] 밤사이 찬바람, 다시 초겨울 추위…내일 출근길 영하권",생활/문화
하루에 10개씩 약 먹는 노인들… 두 명중 한 명이 잘못 복용하고 있어,생활/문화
[강해설교]종말을 맞이하는 성도 ; 마리아는 왜 고가의 향유를 예수님께 쏟아 부었을까,생활/문화
"거창군 배경 웹드라마 ‘김치, Kimchi’ 시사회 열려",생활/문화
가야고분군 세계유산 인증서 수령…다음 달 기념식,생활/문화
“트럼프 당선되면 IRA 폐기될 수도” 내년 전기차 시장 최대 변수 ‘미 대선’,생활/문화
추위와 함께 온 미세먼지…동해안은 산불 주의,생활/문화
“기록하면 기억할 수 있어”…‘한글 그림’으로 멸종위기종 기록하는 ‘숨탄것들’ 진관우 작가 [차 한잔 나누며],생활/문화
"""요즘 누가 입어요""…자녀 '롱패딩' 부모가 입는 사연",생활/문화
전남 ‘봉수 유적’ 10곳 국가지정문화유산 지정,생활/문화
